event_date,inst_date,pkg,utm_source,utm_campaign,utm_medium,utm_creative,utm_country,cv,user_id,template_id,edit_action,prev_action,tpl_action,result_action,ud_result_info,result_watermark,photo_action,eventCount
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_gcc_出量_wl_02_0921 (1744578549881857),catcut_gcc_出量_wl_02_0921 (1744578548646930),in_220902_chenweiyu_9X16_vido7-.mp4_001 (1744578562357298),ae,1.4.24,e3eeb5bd32ce20910f7fe969fb270ba0c4795a5c,64b4,,,120,,,,,1
2022-10-20,2022-10-11,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,972a3879a3cf7852d854c0a75b523ff6d6d4e27f,eeb5,,,120,,,,,1
2022-10-20,2022-10-19,com.video.music.editor.maker,Organic,,,,ae,1.4.24,0e9a45755a9c916f93bb348ce6ccd7d924103f44,1a07b910a30742f484c2e7fd7cb5382f,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_ae_出量_wl_02_1004 (1745713530137634),catcut_ae_出量_wl_02_1004 (1745713528495122),in_220902_chenweiyu_9X16_vido7-.mp4_002 (1745713539027986),ae,1.4.24,9dbc207d2d06c2ffe94fc413f97c2a80ef4737b2,1eb8,,,120,,,,,1
2022-10-20,2022-10-07,com.video.music.editor.maker,TikTok,catcut_伊斯兰_WSY_0918_阿联酋 (1744272685038641),cc_沙特_WSY_0921 (1744505458052145),in_220825_chenweiyu_9X16_vido17+1.mp4_001 (1744505461196849),ae,1.4.24,ac4b0bb81ee5d2bc6596de7b0a1776c196859b96,c69e150f22dc4f6894590d30de445955,,,120,,,,,1
2022-10-20,2022-10-11,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,972a3879a3cf7852d854c0a75b523ff6d6d4e27f,29c1e108699d4ee7b8cdcef979582d52,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_gcc_13迭代_spc_wl_1013 (1746568453358610),catcut_gcc_13迭代_spc_wl_1013 (1746568453358626),in_221013_zhangguiping_1X1_vido1.mp4_001 (1746568454520834),ae,1.4.24,bb40a29d2d026c1ee739fa80eb42d972b0daf24d,0c952211e14a492da6781b3a3ce455dd,,,120,,,,,1
2022-10-20,2022-09-22,com.video.music.editor.maker,TikTok,catcut_mid_JY_0914_jingpin_chuliang (1743936836583458),catcut_mid_JY_0914_jingpin_chuliang (1743936836371473),vido03_chenweiyu_16X9_220728.mp4 (1743936845435906),ae,1.4.24,a852ec6131ce7b561deb83b017af2dcba2194955,bacc,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,bfe549d74e1c807960866ce0e336b35652ef99d7,a6d1d7dc9f284f58bfc2d99183002eec,,,120,,,,,1
2022-10-20,2022-09-24,com.video.music.editor.maker,TikTok,catcut_mid_JY_0914_jingpin_chuliang (1743936836583458),catcut_mid_JY_0914_jingpin_chuliang (1743936836371473),vido03_chenweiyu_16X9_220728.mp4 (1743936845435906),ae,1.4.24,a091d3174d0eb8918efe5326a88873972751d13f,2da2,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,bfe549d74e1c807960866ce0e336b35652ef99d7,0b92,,,120,,,,,1
2022-10-20,2022-09-24,com.video.music.editor.maker,TikTok,catcut_mid_JY_0914_jingpin_chuliang (1743936836583458),catcut_mid_JY_0914_jingpin_chuliang (1743936836371473),vido03_chenweiyu_16X9_220728.mp4 (1743936845435906),ae,1.4.24,a091d3174d0eb8918efe5326a88873972751d13f,e642,,,120,,,,,1
2022-10-20,2022-09-23,com.video.music.editor.maker,Organic,,,,ae,1.4.24,d641a8cf54a46120503b9df4da9cab1b7d6b4c93,2da2,,,120,,,,,1
